,name,review_count,rating,price,catergory,latitude,longitude
97,Sanukiya,371,4.5,€€,Japanese,48.8647,2.3338199
98,Ladurée,1536,4.0,€€€,Macarons,48.870838,2.303188
99,Crêperie Brocéliande,122,4.5,€€,Creperies,48.884346,2.341099
100,Cimetière du Père Lachaise,256,4.5,,Funeral Services & Cemeteries,48.859886,2.390963
101,L'As du Fallafel,1906,4.5,€€,Kosher,48.857498,2.35908
102,Blé Sucré,314,4.5,€,Bakeries,48.850565,2.376759
103,Berthillon,744,4.5,€€,Ice Cream & Frozen Yogurt,48.851702,2.356713
104,Septime,145,4.5,€€€€,Modern European,48.85355,2.380665
105,Du Pain et des Idées,472,4.5,€€,Bakeries,48.8712,2.3628999
106,Le Temps des Cerises,369,4.5,€€€,French,48.852569,2.364184
107,Chez Janou,559,4.0,€€,Bistros,48.8566952430158,2.36717752386277
108,East Mamma,252,4.5,€€,Pizza,48.851034,2.377739
109,Bistrot Paul Bert,294,3.5,€€€,Bistros,48.85222,2.38488
110,Ober Mamma,289,4.5,€€,Pizza,48.86446,2.37018
111,Pizza Julia,137,4.5,€,Pizza,48.8516654154578,2.37197349693813
112,Chez Prosper,278,3.5,€€,Bistros,48.848554304744,2.3983338856896
113,Clamato,94,4.5,€€€,Seafood,48.85357,2.38037
114,Holybelly 5,263,4.5,€€,Breakfast & Brunch,48.871022,2.359819
115,Epicerie Breizh,459,4.0,€€,Creperies,48.861039,2.361757
116,Chez Alain Miam Miam,171,4.5,€€,Creperies,48.862262,2.362023
117,Blue Elephant,479,3.5,€€€,Thai,48.855515,2.374148
118,La Droguerie du Marais,218,4.5,€,Creperies,48.85789,2.35797
119,L'Ebauchoir,127,4.0,€€€,French,48.849860429523,2.381131
120,L'As du Fallafel,1906,4.5,€€,Kosher,48.857498,2.35908
121,Blé Sucré,314,4.5,€,Bakeries,48.850565,2.376759
122,Berthillon,744,4.5,€€,Ice Cream & Frozen Yogurt,48.851702,2.356713
123,Le Comptoir de la Gastronomie,1216,4.5,€€,French,48.8645157999652,2.34540185646608
124,Le Temps des Cerises,369,4.5,€€€,French,48.852569,2.364184
125,East Mamma,252,4.5,€€,Pizza,48.851034,2.377739
126,Le Train Bleu,293,4.0,€€€€,French,48.844901,2.373278
127,Chez Janou,559,4.0,€€,Bistros,48.8566952430158,2.36717752386277
128,Cimetière du Père Lachaise,256,4.5,,Funeral Services & Cemeteries,48.859886,2.390963
129,Pizza Julia,137,4.5,€,Pizza,48.8516654154578,2.37197349693813
130,Le Bistro du Périgord,364,4.5,€€€,Bistros,48.8498092201519,2.34515282327701
131,Le Janissaire,83,4.0,€€,Turkish,48.841635708226,2.3917643861582
132,L'Ebauchoir,127,4.0,€€€,French,48.849860429523,2.381131
133,Le Calbar,100,4.5,€€,Cocktail Bars,48.84853,2.37564
134,Shakespeare and Company,327,4.5,€€,Bookstores,48.852658704771,2.3469621526521
135,Chez Lili et Marcel,199,4.0,€€,French,48.837575922311,2.3733658796209
136,La Droguerie du Marais,218,4.5,€,Creperies,48.85789,2.35797
137,Septime,145,4.5,€€€€,Modern European,48.85355,2.380665
138,Epicerie Breizh,459,4.0,€€,Creperies,48.861039,2.361757
139,L'Auberge Aveyronnaise,113,4.0,€€,French,48.8347709,2.38599
140,Musée d’Orsay,886,4.5,,Museums,48.8604072252412,2.32502393267818
141,Musée du Louvre,1994,4.5,,Museums,48.86206,2.334521
142,La Tour Eiffel,2039,4.5,,Landmarks & Historical Buildings,48.858368,2.29448028497734
143,L'Avant Comptoir,643,4.5,€€,Tapas Bars,48.85202,2.3388
144,Jardin du Luxembourg,380,4.5,,Parks,48.8468096948025,2.33754648154959
145,Les Antiquaires,424,4.5,€€€,Bistros,48.8580664639432,2.32823697067099
146,Le Comptoir de la Gastronomie,1216,4.5,€€,French,48.8645157999652,2.34540185646608
147,Eggs & Co,380,4.5,€€,Breakfast & Brunch,48.853123,2.331244
148,Musée Rodin,264,4.5,,Museums,48.855308,2.315834
149,Angelina,1459,4.0,€€€,Breakfast & Brunch,48.865092,2.328464
150,L'As du Fallafel,1906,4.5,€€,Kosher,48.857498,2.35908
151,La Jacobine,313,4.5,€€€,Tea Rooms,48.8532345157095,2.33900494873524
152,Le Relais de l'Entrecôte,479,4.0,€€€,Steakhouses,48.85469,2.3329
153,L'Atelier de Joël Robuchon,396,4.0,€€€€,French,48.8568107229545,2.32785068883627
154,Little Breizh,209,4.5,€€,Creperies,48.853215,2.337917
155,Ladurée,312,4.0,€€€,Tea Rooms,48.8555969,2.334102
156,La Crêperie de Josselin,425,4.0,€€,Creperies,48.841704,2.325412
157,Berthillon,744,4.5,€€,Ice Cream & Frozen Yogurt,48.851702,2.356713
158,Bistro des Augustins,463,4.5,€€,Bistros,48.854754,2.342119
159,Le Bistro du Périgord,364,4.5,€€€,Bistros,48.8498092201519,2.34515282327701
160,Musée du Louvre,1994,4.5,,Museums,48.86206,2.334521
161,L'Avant Comptoir,643,4.5,€€,Tapas Bars,48.85202,2.3388
162,L'As du Fallafel,1906,4.5,€€,Kosher,48.857498,2.35908
163,Le Comptoir de la Gastronomie,1216,4.5,€€,French,48.8645157999652,2.34540185646608
164,Le Bistro du Périgord,364,4.5,€€€,Bistros,48.8498092201519,2.34515282327701
165,Bistro des Augustins,463,4.5,€€,Bistros,48.854754,2.342119
166,Jardin du Luxembourg,380,4.5,,Parks,48.8468096948025,2.33754648154959
167,Shakespeare and Company,327,4.5,€€,Bookstores,48.852658704771,2.3469621526521
168,Musée d’Orsay,886,4.5,,Museums,48.8604072252412,2.32502393267818
169,La Jacobine,313,4.5,€€€,Tea Rooms,48.8532345157095,2.33900494873524
170,Berthillon,744,4.5,€€,Ice Cream & Frozen Yogurt,48.851702,2.356713
171,Little Breizh,209,4.5,€€,Creperies,48.853215,2.337917
172,Les Papilles,257,4.5,€€€,Wine Bars,48.84461,2.34174
173,Chez le Libanais,188,4.5,€,Lebanese,48.85331,2.34166
174,Le Relais de l'Entrecôte,479,4.0,€€€,Steakhouses,48.85469,2.3329
175,Angelina,1459,4.0,€€€,Breakfast & Brunch,48.865092,2.328464
176,Chez Fernand,212,4.5,€€€,French,48.85461,2.33954
177,Ladurée,312,4.0,€€€,Tea Rooms,48.8555969,2.334102
178,Le Comptoir,446,4.0,€€€,Bistros,48.851945700766,2.338757487651
179,A. Lacroix,85,5.0,€€,Coffee & Tea,48.851727,2.349427
180,L'Arc de Triomphe,686,4.5,,Landmarks & Historical Buildings,48.8738256014877,2.29502221103758
181,Ladurée,1536,4.0,€€€,Macarons,48.870838,2.303188
182,La Tour Eiffel,2039,4.5,,Landmarks & Historical Buildings,48.858368,2.29448028497734
183,Musée du Louvre,1994,4.5,,Museums,48.86206,2.334521
184,Le Hide,221,4.5,€€€,French,48.8763,2.29401
185,Musée d’Orsay,886,4.5,,Museums,48.8604072252412,2.32502393267818
186,La Coïncidence,507,4.5,€€,French,48.868105,2.284365
187,Angelina,1459,4.0,€€€,Breakfast & Brunch,48.865092,2.328464
188,Le Relais de l’Entrecôte,538,4.0,€€€,Steakhouses,48.86808,2.30295
189,Le Cinq,151,4.5,€€€€,French,48.8688,2.30083
190,Baroche,223,4.0,€€,Brasseries,48.871315,2.307362
191,Basilique du Sacré-Cœur de Montmartre,595,4.5,,Churches,48.88709,2.34343
192,Le Potager du Père Thierry,448,4.5,€€,French,48.884476,2.341335
193,L'Epicure,167,4.5,€€€€,French,48.871697,2.314657
194,Le Relais de Venise - l'Entrecôte,288,4.0,€€€,Desserts,48.878045,2.285062
195,Chez Gabrielle,68,4.5,€€€,French,48.87669,2.29619
196,Taillevent,91,4.5,€€€€,French,48.87428,2.30243
197,L'Atelier de Joël Robuchon,153,4.0,€€€€,French,48.8728,2.29698
198,Les Cocottes,539,4.0,€€€,Bistros,48.85819,2.30183
199,Opéra National de Paris - Palais Garnier,245,4.5,,Landmarks & Historical Buildings,48.8719444,2.3316667
