,name,latitude,longitude,free_bikes
44,Michel-Ange - Parent de Rosan,48.840579923690115,2.2584119439125065,1
45,Lagny - Victor Basch,48.84884147189881,2.426325418925233,5
46,Serrurier,48.8804934032465,2.39806417375803,1
47,Théâtre des Amandiers - Palais des sports,48.892648526839,2.2136941552162,11
48,Louis Lejeune - Barbès,48.81807418981508,2.3267009854316716,4
49,Vaugirard - Monsieur le Prince,48.848951441614,2.3411329463124,20
50,Rond-point du Dr Albert Schweitzer,48.78980918988166,2.3143940046429634,1
51,Boétie - Ponthieu,48.871417284355,2.3076787590981,12
52,Custine - Ramey,48.888735896947,2.3469526693225,2
53,Pyrénées - Ménilmontant,48.8693268535238,2.395084574818611,1
54,Caire - Dussoubs,48.86785342111862,2.349364310503006,12
55,Tour d'Auvergne - Rodier,48.879161,2.343698,1
56,Assemblée Nationale,48.86141101465194,2.320121418520769,31
57,Dunkerque - Alsace,48.879355,2.358379,1
58,Liard - Amiral Mouchez,48.8214169,2.342167,4
59,Gabriel Lamé,48.8351212784276,2.385534569621086,32
60,Las Cases - Bourgogne,48.85909110474066,2.3185685276985173,8
61,Félix Ziem - Armand Gauthier,48.88949630486821,2.333393658804396,1
62,Jonquière - Docteur Paul Brousse,48.894799816683985,2.318705212173216,12
63,Square Louis XVI,48.87320440102894,2.323658830743138,19
64,Youri Gagarine - Karl Marx,48.78448485079149,2.35908430069685,1
65,Octave Feuillet - Albéric Magnard,48.86106902949534,2.2730283066630363,3
66,Ney - Porte de Clignancourt ,48.8978867,2.3458001,5
67,Gay Lussac - Saint-Jacques,48.844730256132095,2.341923944866407,11
68,Place Jean-Spire-Lemaître,48.8468428626593,2.452062070369721,11
69,Place Georges Guillaumin,48.874750203956566,2.301771435325988,5
70,Bellefond - Poissonnière,48.87759897050706,2.348463758826256,1
71,Jean Oestreicher - Porte de Champerret,48.88655580065981,2.288640439510346,7
72,Alexandre Parodi - Quai de Valmy,48.87935941942529,2.366596162319184,3
73,Ségur - d'Estrées,48.851419978983,2.3097044974566,4
74,Granges aux Belles,48.8761373390584,2.3680844979417,3
75,Regnault - Patay,48.82435782216384,2.377065159380436,40
76,Gare Saint-Lazare - Place de Budapest,48.877753,2.327339,21
77,Edgar Quinet - Raspail,48.83940266673835,2.32971478253603,7
78,Clignancourt - Ordener,48.891457726153774,2.348636478060487,5
79,Dunkerque - Rocroy,48.880726,2.351464,2
80,Abbeville - Faubourg Poissonnière,48.879223,2.349147,3
81,Boulangers - Cardinal Lemoine,48.8462904,2.3521495,12
82,Boudreau - Auber,48.87219,2.329423,13
83,Gare de l'Est - Faubourg-Saint-Martin,48.875642647477,2.3594588041306,4
84,Pereire - Ternes,48.87973954830735,2.288012132048607,10
85,Douai - Bruxelles,48.88320784122797,2.3308449949028507,2
86,Champ de Mars - Cler,48.856691550115315,2.306646779179573,34
87,Quai de l'Horloge - Pont Neuf,48.857058739111,2.3417982839439,12
88,Gare Saint-Lazare - Isly,48.874777677621296,2.326515804784655,5
89,Ambroise Rendu - Porte Brunet,48.883667,2.395733,6
90,Gare de Lyon - Place Louis Armand,48.845515089794,2.3726498446286,52
91,Institut de France,48.85761567856468,2.335831353037739,6
92,Porte Pouchet-Bessières,48.8978765,2.3230632,8
93,Vigée-Lebrun - Anselme Payen,48.838683941628375,2.3110422492027287,6
94,Institut du Monde Arabe - Saint-Germain,48.849063299501,2.3558086529374,37
