,name_x,free_bikes,longitude,latitude,fsq_id,category_id,category_name,distance,country,city,address,name_y
776,Cauchy - Cévennes,46.0,2.275,48.843,,,,,,,,
777,Amaury Duval - Gabriel Péri,9.0,2.324,48.817,,,,,,,,
778,Caulaincourt - Place Constantin Pecqueur,1.0,2.338,48.89,,,,,,,,
779,Charles de Gaulle - Graviers,0.0,2.265,48.883,,,,,,,,
780,Paul Signac - Aristide Briand,12.0,2.45,48.87,,,,,,,,
781,Hôpital - Campo-Formio,5.0,2.358,48.835,,,,,,,,
782,Jean Calvin - Tournefort,6.0,2.348,48.842,,,,,,,,
783,Place de Barcelone - Mirabeau,27.0,2.274,48.848,,,,,,,,
784,Charles Gide - Fort de Bicêtre ,4.0,2.354,48.807,,,,,,,,
785,Jardin de l'Hospice Debrousse,4.0,2.406,48.861,,,,,,,,
786,Place de la Porte de Passy,12.0,2.264,48.857,,,,,,,,
787,Batignolles - Beudant,6.0,2.32,48.882,,,,,,,,
788,Daumesnil - Hébrard,36.0,2.385,48.843,,,,,,,,
789,Stade de France,5.0,2.362,48.919,,,,,,,,
790,Place de Lévis,7.0,2.313,48.884,,,,,,,,
791,Damrémont - Ordener,11.0,2.336,48.893,,,,,,,,
792,Arcole - Notre-Dame,26.0,2.349,48.854,,,,,,,,
793,La Motte-Picquet - Grenelle,28.0,2.299,48.849,,,,,,,,
794,Président Wilson - Baudin,10.0,2.285,48.898,,,,,,,,
795,Lobau - Hôtel de Ville,44.0,2.353,48.856,,,,,,,,
796,Colmar - Victor Hugo,24.0,2.174,48.887,,,,,,,,
797,Charonne - Pierre Bayle,2.0,2.39,48.858,,,,,,,,
798,Jourdan - Monticelli,6.0,2.329,48.822,,,,,,,,
799,Porte d'Asnières,8.0,2.304,48.89,,,,,,,,
800,Gaston Tessier - Rosa Parks RER,5.0,2.374,48.896,,,,,,,,
801,Camille Groult - Guy Môquet,12.0,2.398,48.787,,,,,,,,
802,Place de l'Europe - Quai de Bercy,12.0,2.395,48.825,,,,,,,,
803,Marché aux fleurs,11.0,2.347,48.855,,,,,,,,
804,Assas - Luxembourg,8.0,2.333,48.844,,,,,,,,
805,Pergolèse - Malakoff,6.0,2.284,48.875,,,,,,,,
806,Raspail - Albert Schweitzer,19.0,2.344,48.81,,,,,,,,
807,Jean Jaurès - Ouvrières Pivéreuses,17.0,2.4,48.91,,,,,,,,
808,Javel - André Citroën,41.0,2.279,48.846,,,,,,,,
809,Brillat-Savarin - Küss,18.0,2.35,48.822,,,,,,,,
810,Jacques Kellner - Saint-Ouen,23.0,2.328,48.896,,,,,,,,
811,Gare de Lyon - Chalon,1.0,2.374,48.846,,,,,,,,
812,Estienne d'Orves - Henri Ginoux,10.0,2.321,48.815,,,,,,,,
813,Benjamin Delessert - Jean Lolive,3.0,2.418,48.894,,,,,,,,
814,Paris - Laitières,3.0,2.421,48.846,,,,,,,,
815,Louis Pasteur - Albert Petit,8.0,2.317,48.796,,,,,,,,
816,Bobillot - Paulin Mery,3.0,2.354,48.83,,,,,,,,
817,Louis Rolland - République,2.0,2.319,48.817,,,,,,,,
818,Emeriau - Beaugrenelle,55.0,2.284,48.848,,,,,,,,
819,Faubourg Poissonnière - Dunkerque,2.0,2.35,48.881,,,,,,,,
820,Jean Moulin - Place Victor et Hélène Basch,3.0,2.326,48.828,,,,,,,,
821,Victor Hugo - La Pompe,4.0,2.281,48.868,,,,,,,,
822,Place Mongolfier,23.0,2.459,48.815,,,,,,,,
823,Gare RER - Malleret-Joinville,16.0,2.425,48.803,,,,,,,,
824,Place de la Gare,39.0,2.428,48.803,,,,,,,,
825,Paris - Désiré Préaux,7.0,2.432,48.857,,,,,,,,
826,Italie - Jardin Joan Miro,2.0,2.359,48.82,,,,,,,,
827,Monceau - Malesherbes ,3.0,2.315,48.88,,,,,,,,
828,Gare de la Garenne-Colombes,4.0,2.239,48.91,,,,,,,,
829,Mairie de quartier du Plateau - Mont-Valérien,13.0,2.207,48.88,,,,,,,,
830,Paul Vaillant-Couturier - Victor Hugo,27.0,2.294,48.898,,,,,,,,
831,La Jarry - Place Diderot,13.0,2.452,48.85,,,,,,,,
832,Paul Doumer - Stalingrad,17.0,2.337,48.807,,,,,,,,
833,Berthier - Place Stuart Merril,18.0,2.293,48.886,,,,,,,,
834,Quai de l'Oise - Aisne,17.0,2.383,48.891,,,,,,,,
835,Goutte d'or - Barbès,7.0,2.35,48.885,,,,,,,,
836,Charonne - Bureau,10.0,2.396,48.854,,,,,,,,
837,Square Louise Michel,4.0,2.344,48.885,,,,,,,,
838,Mairie de Clamart,6.0,2.262,48.801,,,,,,,,
839,Rond-Point de la Chapelle,0.0,2.36,48.895,,,,,,,,
840,Vaugirard - Pasteur,1.0,2.315,48.84,,,,,,,,
841,Place Jeanne d'Arc,14.0,2.369,48.83,,,,,,,,
842,Douai - Pierre Fontaine,3.0,2.333,48.882,,,,,,,,
843,Bessières - Porte de Clichy,7.0,2.318,48.896,,,,,,,,
844,Portugais - Kléber,1.0,2.294,48.871,,,,,,,,
845,Maréchal Joffre - Verdun,1.0,2.47,48.854,,,,,,,,
846,Place Edmond Michelet,2.0,2.35,48.86,,,,,,,,
847,Emile Zola - Fondary,25.0,2.295,48.847,,,,,,,,
848,Taitbout - La Fayette,9.0,2.335,48.873,,,,,,,,
849,Charles Tillon - Cimetière Communal,16.0,2.394,48.918,,,,,,,,
850,Saint-Mandé - Fabre d'Eglantine,15.0,2.397,48.845,,,,,,,,
851,Quai du Président Roosevelt - Pont Aval,10.0,2.266,48.834,,,,,,,,
852,Delizy - Louis Nadot,11.0,2.409,48.896,,,,,,,,
853,Halles - Bourdonnais,8.0,2.346,48.86,,,,,,,,
854,Île de la Jatte,11.0,2.267,48.894,,,,,,,,
855,Centre Georges Pompidou,4.0,2.353,48.861,,,,,,,,
856,Place Saint-Just,13.0,2.39,48.79,,,,,,,,
857,Rochechouart - Martyrs,4.0,2.341,48.882,,,,,,,,
858,La Motte-Picquet - La Tour Maubourg,20.0,2.309,48.857,,,,,,,,
859,Placette Grégoire Collas,16.0,2.249,48.943,,,,,,,,
860,Gérando - Rochechouart,1.0,2.346,48.883,,,,,,,,
861,Candale - Mehul,8.0,2.414,48.889,,,,,,,,
862,Porte des Lilas - Faidherbe,23.0,2.412,48.879,,,,,,,,
863,Suffren - Champ de Mars,22.0,2.295,48.855,,,,,,,,
864,Balzac - Olympes de Gouges,15.0,2.401,48.779,,,,,,,,
865,Square Bela Bartok,14.0,2.285,48.851,,,,,,,,
866,Fort d'Aubervilliers,10.0,2.404,48.915,,,,,,,,
867,Gare du Nord - Faubourg Saint-Denis,1.0,2.357,48.88,,,,,,,,
868,Saint-Germain - Ciseaux,6.0,2.334,48.853,,,,,,,,
869,Crozatier - Faubourg Saint-Antoine,34.0,2.379,48.85,,,,,,,,
870,Place Nelson Mandela,4.0,2.218,48.898,,,,,,,,
871,Hoche - Tilsitt,4.0,2.297,48.875,,,,,,,,
872,Londres - Place d'Estienne d'Orves,3.0,2.331,48.877,,,,,,,,
873,Place Ginette Hamelin,29.0,2.382,48.838,,,,,,,,
874,Pont de Suresnes,0.0,2.226,48.867,,,,,,,,
875,Esplanade du Foncet - Camille Desmoulins,12.0,2.261,48.827,,,,,,,,
876,Auguste Blanqui - Corvisart,5.0,2.35,48.83,,,,,,,,
877,Dunkerque - Trudaine,4.0,2.346,48.882,,,,,,,,
878,Clichy - Douai,0.0,2.329,48.884,,,,,,,,
879,Chemin de Bretagne,19.0,2.259,48.825,,,,,,,,
880,Joseph Dijon - Ornano,10.0,2.348,48.894,,,,,,,,
881,Gare du Stade,7.0,2.26,48.931,,,,,,,,
882,Square Denise Buisson,8.0,2.426,48.856,,,,,,,,
883,Glacière - Soeur Catherine Marie,6.0,2.344,48.83,,,,,,,,
884,Place Monge,11.0,2.352,48.843,,,,,,,,
885,Jourdan - Stade Charléty,14.0,2.343,48.819,,,,,,,,
886,Maurice d'Ocagne - General Maudhuy,4.0,2.316,48.824,,,,,,,,
887,Vivienne - Montmartre,5.0,2.341,48.871,,,,,,,,
888,Marché Saint-Quentin,3.0,2.355,48.877,,,,,,,,
889,Geoffroy - Marie,10.0,2.345,48.874,,,,,,,,
890,Toffier Decaux - Cartier Bresson,2.0,2.402,48.902,,,,,,,,
891,Place de Rungis,23.0,2.347,48.822,,,,,,,,
892,Vivaldi - Antoine-Julien Hénard,6.0,2.39,48.842,,,,,,,,
893,Godot de Mauroy - Madeleine,19.0,2.326,48.87,,,,,,,,
894,Madagascar - Meuniers,16.0,2.397,48.835,,,,,,,,
895,Abbé Groult - Convention,7.0,2.302,48.836,,,,,,,,
896,Saint-Denis - Rivoli,63.0,2.348,48.859,,,,,,,,
897,Buffon - Jardin des Plantes,24.0,2.362,48.843,,,,,,,,
898,Louis Xavier de Ricard - Ancienne Mairie,6.0,2.472,48.846,,,,,,,,
899,Lebrun - Colonel Fabien ,17.0,2.381,48.783,,,,,,,,
900,Saint-Antoine Sévigné,18.0,2.361,48.855,,,,,,,,
901,Place Joffre - Frédéric le Play,31.0,2.304,48.854,,,,,,,,
902,Square Etienne Jarousse,13.0,2.293,48.825,,,,,,,,
903,Rottembourg - Général Michel Bizot,17.0,2.404,48.838,,,,,,,,
904,Sebastopol - Rambuteau,12.0,2.35,48.862,,,,,,,,
905,Cloître Saint-Merri - Renard,20.0,2.352,48.859,,,,,,,,
906,Gare d'Argenteuil,28.0,2.257,48.947,,,,,,,,
907,Mairie du 8ème ,3.0,2.318,48.878,,,,,,,,
908,Jules Guesdes - Général de Gaulle,9.0,2.279,48.819,,,,,,,,
909,Bibliothèque Nationale - Richelieu,13.0,2.338,48.868,,,,,,,,
910,Marché Saint-Germain,15.0,2.336,48.852,,,,,,,,
911,Cherche-Midi - Hôpital Necker,12.0,2.318,48.845,,,,,,,,
912,Charenton - Prague,12.0,2.376,48.848,,,,,,,,
913,Place Aimé Césaire,3.0,2.243,48.783,,,,,,,,
914,Bourg l'Abbé - Saint-Martin,25.0,2.352,48.864,,,,,,,,
915,Hôpital Necker,15.0,2.313,48.846,,,,,,,,
916,Condorcet - Turgot,14.0,2.345,48.88,,,,,,,,
917,Dareau - Broussais,7.0,2.336,48.831,,,,,,,,
918,Jean Monnet - Iles,30.0,2.25,48.823,,,,,,,,
919,Parc Eli Lotar,9.0,2.373,48.918,,,,,,,,
920,Villiers - Batignolles,6.0,2.317,48.881,,,,,,,,
921,Stalingrad - Rigollots,11.0,2.456,48.85,,,,,,,,
922,Place Charles Michels,35.0,2.285,48.846,,,,,,,,
923,Croix Nivert - Square Saint-Lambert,46.0,2.295,48.843,,,,,,,,
924,Mairie du 14ème,10.0,2.325,48.833,,,,,,,,
925,Benoît Frachon - République,5.0,2.416,48.852,,,,,,,,
926,Dutot - Place Alleray,16.0,2.307,48.837,,,,,,,,
927,Leredde - Tolbiac,33.0,2.374,48.829,,,,,,,,
928,Jean Jaurès - Jules Jacquemin,8.0,2.408,48.884,,,,,,,,
929,Marne - Charles de Gaulle,26.0,2.412,48.815,,,,,,,,
930,Saint-Benoît - Jacob,11.0,2.333,48.855,,,,,,,,
931,Jardins d'Eole,5.0,2.367,48.887,,,,,,,,
932,Didot - Place de Moro-Giafferi,7.0,2.322,48.834,,,,,,,,
933,Davout - Volga,12.0,2.411,48.853,,,,,,,,
934,Porte de la Muette,5.0,2.269,48.863,,,,,,,,
935,Landy - Heurtault,12.0,2.376,48.915,,,,,,,,
936,Paradis - Hauteville,12.0,2.352,48.875,,,,,,,,
937,Bruant - Vincent Auriol,8.0,2.367,48.835,,,,,,,,
938,Place des Droits de l'Enfant,8.0,2.332,48.827,,,,,,,,
939,Richard Lenoir - Place de la Bastille,36.0,2.37,48.854,,,,,,,,
940,Bréguet - Sabin,27.0,2.371,48.857,,,,,,,,
941,Toqueville - Cardinet,9.0,2.311,48.885,,,,,,,,
942,Richard Lenoir - Voltaire,20.0,2.373,48.862,,,,,,,,
943,Paul Bodin - Clichy,4.0,2.317,48.892,,,,,,,,
944,Raymond Poincaré - Place Victor Hugo,1.0,2.285,48.87,,,,,,,,
945,Hôtel de Ville de Sèvres,25.0,2.213,48.824,,,,,,,,
946,Place de la Madeleine - Royale,11.0,2.324,48.869,,,,,,,,
947,Porte de Bagnolet,2.0,2.408,48.865,,,,,,,,
948,Ruisseau - Ordener,16.0,2.34,48.893,,,,,,,,
949,Ecoles - Carmes,24.0,2.347,48.849,,,,,,,,
950,Plantes - Moulin Vert,7.0,2.323,48.83,,,,,,,,
951,Crevaux - Bugeaud,4.0,2.281,48.871,,,,,,,,
952,Artois - Berri,4.0,2.306,48.874,,,,,,,,
953,Jules Vallès - Charonne,15.0,2.385,48.854,,,,,,,,
954,Porte Molitor,14.0,2.257,48.845,,,,,,,,
955,Charles Frérot - Albert Guilpin,26.0,2.351,48.816,,,,,,,,
956,Cadix - Hameau,10.0,2.29,48.834,,,,,,,,
957,Reuilly - Place Felix Eboue,13.0,2.395,48.84,,,,,,,,
958,Gare RER les Grésillons,21.0,2.315,48.92,,,,,,,,
959,Alfred de Vigny - Place du Général Brocard,3.0,2.305,48.878,,,,,,,,
960,Cambon - Rivoli,20.0,2.325,48.866,,,,,,,,
961,Jean Mermoz - Champs-Elysées,19.0,2.311,48.87,,,,,,,,
962,Place de la Nation - Picpus,4.0,2.4,48.847,,,,,,,,
963,Poissonniers - Championnet,8.0,2.353,48.895,,,,,,,,
964,Flandrin - Longchamp,13.0,2.274,48.869,,,,,,,,
965,Grande Truanderie - Saint-Denis,20.0,2.35,48.863,,,,,,,,
966,Square Claude Bernard,2.0,2.375,48.899,,,,,,,,
967,Chevreuse - Montparnasse,3.0,2.332,48.842,,,,,,,,
968,Henri Ravera - Gabriel Péri,13.0,2.302,48.797,,,,,,,,
969,Perle - Vieille du Temple,36.0,2.361,48.86,,,,,,,,
970,Sèvres - Lecourbe,8.0,2.311,48.845,,,,,,,,
971,Epée de Bois - Mouffetard,4.0,2.35,48.842,,,,,,,,
972,Claude Vellefaux - Hôpital Saint-Louis,23.0,2.37,48.873,,,,,,,,
973,Maxime Gorki - Louis Aragon,3.0,2.368,48.789,,,,,,,,
974,Roger Salengro - Général de Gaulle,15.0,2.485,48.82,,,,,,,,
975,Murat - Porte de Saint-Cloud,14.0,2.258,48.838,,,,,,,,
976,Gare Montparnasse - Arrivée,2.0,2.323,48.844,,,,,,,,
977,Camille Risch - Paul Armangot,13.0,2.374,48.775,,,,,,,,
978,Reuilly - Daumesnil,3.0,2.397,48.84,,,,,,,,
979,Place de la Nation - Charonne,4.0,2.4,48.848,,,,,,,,
980,Charentonneau - Maisons Alfort,20.0,2.443,48.81,,,,,,,,
981,Place des Abbesses,1.0,2.339,48.885,,,,,,,,
982,Sorbier - Ménilmontant,10.0,2.39,48.869,,,,,,,,
983,Mairie du 16ème,3.0,2.277,48.864,,,,,,,,
984,Mairie d'Issy,36.0,2.272,48.824,,,,,,,,
985,Square Montholon,5.0,2.346,48.877,,,,,,,,
986,Louis Lumière.,0.0,2.411,48.862,,,,,,,,
987,Maine - Liancourt,4.0,2.324,48.835,,,,,,,,
988,Pyrénées - Avron,5.0,2.406,48.853,,,,,,,,
989,Cité Vaneau,17.0,2.32,48.854,,,,,,,,
990,Leibniz - Jean Dollfus,6.0,2.333,48.896,,,,,,,,
991,Herschel - Observatoire,6.0,2.338,48.843,,,,,,,,
992,Gambetta - Père Lachaise,8.0,2.398,48.864,,,,,,,,
993,Louis Blanc - La Chapelle,1.0,2.36,48.884,,,,,,,,
994,Gare de Reuilly - Picpus,21.0,2.397,48.843,,,,,,,,
995,Pergolèse - Marbeau,19.0,2.282,48.874,,,,,,,,
996,Porte de Clignancourt - Ney,25.0,2.344,48.9,,,,,,,,
997,Jourdan - Cité Universitaire,2.0,2.34,48.82,,,,,,,,
998,Phalsbourg - Villiers,3.0,2.309,48.882,,,,,,,,
999,Parme - Clichy,7.0,2.328,48.881,,,,,,,,
1000,Beaubourg - Michel-le-Comte,13.0,2.354,48.863,,,,,,,,
1001,Cordelières - Arago,36.0,2.349,48.835,,,,,,,,
1002,Niger - Soult,11.0,2.41,48.844,,,,,,,,
1003,Molitor - Michel-Ange,6.0,2.262,48.845,,,,,,,,
1004,Place du Colonel Fabien,8.0,2.37,48.878,,,,,,,,
1005,Gare Saint-Lazare - Stockholm,4.0,2.322,48.877,,,,,,,,
1006,Turbigo - Française,8.0,2.348,48.864,,,,,,,,
1007,Centquatre,15.0,2.371,48.889,,,,,,,,
1008,Place de l'Europe - Alfortville,12.0,2.428,48.789,,,,,,,,
1009,Emile Reynaud - Porte de la Villette ,17.0,2.389,48.901,,,,,,,,
1010,Turbigo - Réaumur,20.0,2.356,48.866,,,,,,,,
1011,Bargue -  Dutot,10.0,2.309,48.838,,,,,,,,
1012,Chausson - Gabriel Péri,17.0,2.295,48.922,,,,,,,,
1013,Beaumarchais - Saint-Gilles,44.0,2.368,48.858,,,,,,,,
1014,Pyrénées - Plaine,8.0,2.406,48.85,,,,,,,,
1015,Louis le Grand - Italiens,17.0,2.334,48.871,,,,,,,,
1016,Charenton - Jardiniers,11.0,2.395,48.834,,,,,,,,
1017,Porte de Pantin.,9.0,2.395,48.889,,,,,,,,
1018,Lucien Lanternier - Le Luth,24.0,2.289,48.932,,,,,,,,
1019,Archives - Rivoli,2.0,2.354,48.857,,,,,,,,
1020,Frères Flavien - Porte des Lilas,11.0,2.411,48.878,,,,,,,,
1021,Sainte-Elisabeth - Turbigo,26.0,2.36,48.866,,,,,,,,
1022,Joffre - Aigle,4.0,2.245,48.904,,,,,,,,
1023,Française - Etienne Marcel,27.0,2.348,48.864,,,,,,,,
1024,Maurice Payret-Dortail,4.0,2.223,48.878,,,,,,,,
1025,Nationale - Vincent Auriol,5.0,2.362,48.833,,,,,,,,
1026,Etienne Marcel - Montorgueil,18.0,2.346,48.865,,,,,,,,
1027,Square Emile - Chautemps,18.0,2.354,48.867,,,,,,,,
1028,Cléry - Montmartre,17.0,2.345,48.867,,,,,,,,
1029,Montmartre - Etienne Marcel,6.0,2.345,48.865,,,,,,,,
1030,Solitaires - Place des Fêtes,3.0,2.392,48.877,,,,,,,,
1031,Temple - Haudriettes,16.0,2.357,48.862,,,,,,,,
1032,Saint-Denis - Réaumur,23.0,2.351,48.866,,,,,,,,
1033,Gare d'Austerlitz - Pont Charles de Gaulle,2.0,2.367,48.842,,,,,,,,
1034,Didot - Mariniers,1.0,2.313,48.827,,,,,,,,
1035,Olivier de Serres - Leriche,9.0,2.296,48.835,,,,,,,,
1036,Mairie du 3ème,25.0,2.362,48.864,,,,,,,,
1037,Gardenat-Lapostol - Velettes,3.0,2.224,48.874,,,,,,,,
1038,Blancs-Manteaux - Archives,13.0,2.356,48.859,,,,,,,,
1039,Adolphe Pinard - Victor Hugo,9.0,2.308,48.824,,,,,,,,
1040,Bézout - Général Leclerc,5.0,2.329,48.829,,,,,,,,
1041,Hôtel de Ville d'Asnières sur Seine,28.0,2.288,48.91,,,,,,,,
1042,Place de la République - Temple,12.0,2.364,48.867,,,,,,,,
1043,Gare du Nord - La Chapelle,6.0,2.356,48.884,,,,,,,,
1044,Quai des Célestins - Henri IV,3.0,2.362,48.851,,,,,,,,
1045,Victoire - Laffitte,4.0,2.338,48.875,,,,,,,,
1046,Eugène Varlin - Place de la Paix,1.0,2.363,48.793,,,,,,,,
1047,Rivoli - Musée du Louvre,15.0,2.334,48.864,,,,,,,,
1048,Alouettes - Maréchal de Lattre de Tassigny,5.0,2.493,48.855,,,,,,,,
1049,Saint-Gilles - Turenne,13.0,2.365,48.858,,,,,,,,
1050,Mairie du 4ème,27.0,2.356,48.856,,,,,,,,
1051,Fille du Calvaire - Turenne,25.0,2.365,48.862,,,,,,,,
1052,Tiron - Rivoli ,20.0,2.358,48.856,,,,,,,,
1053,Froidevaux - Boulard,9.0,2.329,48.835,,,,,,,,
1054,Village Saint-Paul,20.0,2.361,48.853,,,,,,,,
1055,Cesaria Evora - Rosa Parks,3.0,2.375,48.897,,,,,,,,
1056,Château - République,20.0,2.254,48.906,,,,,,,,
1057,Bas - Gabriel Péri,15.0,2.295,48.916,,,,,,,,
1058,Poulet - Barbès,0.0,2.349,48.887,,,,,,,,
1059,Choiseul - Quatre Septembre ,8.0,2.336,48.87,,,,,,,,
1060,Mairie du Kremlin-Bicêtre,6.0,2.357,48.812,,,,,,,,
1061,Porte de Saint Cloud - Parc des Princes,15.0,2.253,48.839,,,,,,,,
1062,Square Pierre Lazareff,9.0,2.348,48.867,,,,,,,,
1063,Jean-Jacques Rousseau - Deux Ecus,17.0,2.341,48.863,,,,,,,,
1064,Ventadour - Opéra,24.0,2.334,48.867,,,,,,,,
1065,Saint-Bon - Rivoli,10.0,2.35,48.858,,,,,,,,
1066,Grande Rue - Europe,1.0,2.206,48.822,,,,,,,,
1067,Édouard Vaillant - Place Jean Jaurès,8.0,2.209,48.863,,,,,,,,
1068,Aboukir - Alexandrie,17.0,2.35,48.869,,,,,,,,
1069,Alger - Rivoli,7.0,2.329,48.865,,,,,,,,
1070,Mairie de Rosny-sous-Bois,26.0,2.487,48.871,,,,,,,,
1071,Saint-Honoré - 29 juillet,11.0,2.331,48.866,,,,,,,,
1072,Gare des Vallées,9.0,2.258,48.913,,,,,,,,
1073,Choisy - Malmaisons,8.0,2.363,48.822,,,,,,,,
1074,Oratoire - Rivoli,13.0,2.34,48.861,,,,,,,,
1075,Filles Saint-Thomas - Place de la Bourse,9.0,2.34,48.869,,,,,,,,
1076,Pau Casals - Neuve Tolbiac,25.0,2.377,48.831,,,,,,,,
1077,Chaussée d'Antin - Haussmann,18.0,2.334,48.872,,,,,,,,
1078,Mairie du 2ème,17.0,2.34,48.867,,,,,,,,
1079,Place du Lieutenant Henri Karcher,22.0,2.34,48.863,,,,,,,,
1080,Arthur Ranc - Hôpital Bichat,6.0,2.334,48.898,,,,,,,,
1081,Le Goff - Gay-Lussac,29.0,2.341,48.846,,,,,,,,
1082,Saint-Placide - Cherche Midi,22.0,2.325,48.849,,,,,,,,
1083,Bréa - Raspail,9.0,2.33,48.843,,,,,,,,
1084,Amédée Huon - Fort d'Ivry,9.0,2.388,48.805,,,,,,,,
1085,Saint-Honoré - Musée du Louvre,5.0,2.335,48.863,,,,,,,,
1086,Jouffroy d'Abbans - Villiers,3.0,2.306,48.884,,,,,,,,
1087,Archives - Pastourelle,23.0,2.36,48.862,,,,,,,,
1088,Résistance - Parmentier,3.0,2.437,48.86,,,,,,,,
1089,Place de la Division Leclerc,14.0,2.273,48.794,,,,,,,,
1090,Cardinal Lavigerie,17.0,2.403,48.833,,,,,,,,
1091,Coquillière - Louvre,13.0,2.343,48.864,,,,,,,,
1092,Lampes,40.0,2.402,48.812,,,,,,,,
1093,Place des Victoires,17.0,2.342,48.866,,,,,,,,
1094,Danielle Casanova - Opéra,17.0,2.333,48.868,,,,,,,,
1095,Victor Massé - Jean-Baptiste Pigalle,6.0,2.337,48.881,,,,,,,,
1096,Belles Feuilles - Place de Mexico,3.0,2.283,48.866,,,,,,,,
1097,Place André Malraux,6.0,2.336,48.864,,,,,,,,
1098,Les Halles - Saint-Eustache,6.0,2.343,48.864,,,,,,,,
1099,Jules Guesdes - Carnot,13.0,2.351,48.938,,,,,,,,
1100,Simon Bolivar - Henri Turot,8.0,2.374,48.877,,,,,,,,
1101,Silly - Louis Blériot,14.0,2.234,48.832,,,,,,,,
1102,Les Blagis,12.0,2.303,48.785,,,,,,,,
1103,Saint-Mande - Picpus,10.0,2.402,48.845,,,,,,,,
1104,Sorbier - Gasnier-Guy,11.0,2.394,48.865,,,,,,,,
1105,Paganini - Davout,9.0,2.412,48.851,,,,,,,,
1106,Saint-Fiacre - Poissonière,4.0,2.346,48.871,,,,,,,,
1107,Bagnolet - Place Saint-Blaise,6.0,2.403,48.86,,,,,,,,
1108,Gare RER - Maurice Grandcoing,31.0,2.392,48.814,,,,,,,,
1109,Jouffroy d'Abbans - Malesherbes,2.0,2.307,48.885,,,,,,,,
1110,Gobelins - Port-Royal,17.0,2.352,48.837,,,,,,,,
1111,Place du Maréchal de Lattre de Tassigny,26.0,2.285,48.822,,,,,,,,
1112,Belleville -  Pré Saint-Gervais,1.0,2.393,48.876,,,,,,,,
1113,Manin - Secrétan,13.0,2.379,48.879,,,,,,,,
1114,Château de Vincennes,18.0,2.439,48.844,,,,,,,,
1115,Paix - Verdun,12.0,2.261,48.901,,,,,,,,
1116,Place Denfert-Rochereau,17.0,2.246,48.843,,,,,,,,
1117,Saint-Augustin,9.0,2.32,48.876,,,,,,,,
1118,Bobillot - Tolbiac,9.0,2.35,48.826,,,,,,,,
1119,Lecourbe - Convention,41.0,2.292,48.839,,,,,,,,
1120,Dôme - République,7.0,2.25,48.833,,,,,,,,
1121,Chevaleret - Louise Weiss,22.0,2.371,48.833,,,,,,,,
1122,Roquette - Auguste Laurent,12.0,2.382,48.858,,,,,,,,
1123,Mathis - Flandre,18.0,2.376,48.891,,,,,,,,
1124,Pyrénées - Cours de Vincennes,6.0,2.406,48.848,,,,,,,,
1125,Suffren - La Motte-Piquet,21.0,2.301,48.851,,,,,,,,
1126,Général Leclerc - Bièvre,2.0,2.317,48.782,,,,,,,,
1127,Place du Docteur Yersin,22.0,2.373,48.82,,,,,,,,
1128,Taitbout - Châteaudun,12.0,2.335,48.876,,,,,,,,
1129,Francoeur - Caulaincourt,9.0,2.343,48.89,,,,,,,,
1130,Léon Frot - Charonne,18.0,2.387,48.855,,,,,,,,
1131,Duméril - Jeanne d'Arc,21.0,2.357,48.838,,,,,,,,
1132,Dom-Pérignon - Gravelle,8.0,2.41,48.825,,,,,,,,
1133,Félix Faure - Convention,40.0,2.288,48.841,,,,,,,,
1134,Franquet - Labrouste,12.0,2.307,48.833,,,,,,,,
1135,Maxime Gorki - Paul Vaillant-Couturier,6.0,2.368,48.797,,,,,,,,
1136,Cambronne - Mademoiselle,24.0,2.302,48.843,,,,,,,,
1137,Balzac - Champs Elysées,2.0,2.3,48.873,,,,,,,,
1138,Euryale Dehaynin - Loire,4.0,2.377,48.886,,,,,,,,
1139,Riquet - Marx Dormoy,27.0,2.36,48.89,,,,,,,,
1140,Pierre Charron - Champs-Elysées,5.0,2.304,48.87,,,,,,,,
1141,Hauteville - Bonne Nouvelle,0.0,2.35,48.871,,,,,,,,
1142,Place de la vache noire,7.0,2.327,48.81,,,,,,,,
1143,Place Tristan Bernard,12.0,2.292,48.879,,,,,,,,
1144,Place Charles Digeon,20.0,2.418,48.844,,,,,,,,
1145,Gouthière - Poterne des Peupliers,23.0,2.351,48.821,,,,,,,,
1146,Hector Malot - Daumesnil,45.0,2.377,48.847,,,,,,,,
1147,Port Royal - Hôpital Cochin,14.0,2.341,48.838,,,,,,,,
1148,Place de la Nation - Taillebourg,2.0,2.397,48.849,,,,,,,,
1149,Gergovie - Alésia,4.0,2.319,48.831,,,,,,,,
1150,Jean de la Fontaine - Boulainvilliers,26.0,2.276,48.853,,,,,,,,
1151,Gambetta - Tourelles,0.0,2.406,48.875,,,,,,,,
1152,Place Eustache Deschamps,20.0,2.337,48.794,,,,,,,,
1153,Square des Amandiers,9.0,2.389,48.866,,,,,,,,
1154,LCL Campus - Place Oscar Niemeyer,11.0,2.364,48.805,,,,,,,,
1155,Général De Gaulle - Vivien,9.0,2.419,48.836,,,,,,,,
1156,Bercy - Traversiére,2.0,2.37,48.846,,,,,,,,
1157,Buzenval - Vignoles,10.0,2.4,48.854,,,,,,,,
1158,Edouard Pailleron - Bouret,0.0,2.377,48.881,,,,,,,,
1159,Pierre Joseph Desault,11.0,2.379,48.821,,,,,,,,
1160,Guillaume Tell - Parc Henri Barbusse,1.0,2.42,48.89,,,,,,,,
1161,Olympiades,6.0,2.365,48.827,,,,,,,,
