,name_x,free_bikes,longitude,latitude,fsq_id,category_id,category_name,distance,country,city,address,name_y
120,Exelmans - Versailles,24.0,2.264,48.841,,,,,,,,
121,Pereire - Rennequin,5.0,2.295,48.884,,,,,,,,
122,Port-Royal - Hôpital du Val-de-Grâce,10.0,2.345,48.838,,,,,,,,
123,Claude Decaen - Cannebière,14.0,2.397,48.838,,,,,,,,
124,Gare d'Austerlitz,9.0,2.364,48.843,,,,,,,,
125,Desaix - Edgar Faure,10.0,2.293,48.853,,,,,,,,
126,Delphine Seyrig - Général Leclerc,6.0,2.398,48.894,,,,,,,,
127,Panthéon - Valette,17.0,2.346,48.847,,,,,,,,
128,Cimetière de Montrouge,4.0,2.322,48.822,,,,,,,,
129,Square Simon Bolivar,9.0,2.383,48.875,,,,,,,,
130,Récollets - Square Villemin,0.0,2.36,48.875,,,,,,,,
131,Amelot - Saint-Sébastien,26.0,2.368,48.861,,,,,,,,
132,Saint-François-Xavier,35.0,2.315,48.852,,,,,,,,
133,Place Marcel Cachin,16.0,2.391,48.814,,,,,,,,
134,Pyramide - Ecole du Breuil ,17.0,2.459,48.822,,,,,,,,
135,Liège - Moscou,3.0,2.326,48.88,,,,,,,,
136,Mairie de Montreuil,5.0,2.441,48.861,,,,,,,,
137,Richard Lenoir - Republique,17.0,2.369,48.867,,,,,,,,
138,Fabre d'Eglantine - Place de la Nation,2.0,2.396,48.847,,,,,,,,
139,Cimetière de Montmartre,5.0,2.333,48.886,,,,,,,,
140,Marne - Germain Dardan,2.0,2.303,48.812,,,,,,,,
141,Bagnolet - Orteaux,7.0,2.398,48.857,,,,,,,,
142,Anatole France - President Roosevelt,14.0,2.381,48.916,,,,,,,,
143,Henry Farman,13.0,2.271,48.834,,,,,,,,
144,Jourdain - Place des Grandes Rigoles,0.0,2.39,48.874,,,,,,,,
145,Rocher - Laborde,10.0,2.323,48.876,,,,,,,,
146,Fontenay - Libération,11.0,2.445,48.848,,,,,,,,
147,Grands Moulins de Pantin,9.0,2.396,48.897,,,,,,,,
148,Gambetta - Saint Fargeau,1.0,2.404,48.871,,,,,,,,
149,Cimetière de Fontenay-sous-Bois,2.0,2.479,48.847,,,,,,,,
150,Gabriel Péri - Francisco Ferrer,11.0,2.407,48.886,,,,,,,,
151,Place de la Reine Astrid,31.0,2.303,48.865,,,,,,,,
152,Lucie Aubrac - Fort,4.0,2.271,48.818,,,,,,,,
153,Pajol - Place Herbert,25.0,2.364,48.893,,,,,,,,
154,Fédération - Suffren,23.0,2.298,48.853,,,,,,,,
155,Hôpital Européen Georges Pompidou ,56.0,2.275,48.838,,,,,,,,
156,Concorde - Stalingrad,11.0,2.382,48.799,,,,,,,,
157,Carducci - Place Hannah Arendt,2.0,2.386,48.877,,,,,,,,
158,Saint-Jacques - Val de Grâce,11.0,2.341,48.842,,,,,,,,
159,Manin - Carrières d'Amérique,5.0,2.392,48.885,,,,,,,,
160,Victor Hugo - Jeanne Jugan,6.0,2.415,48.844,,,,,,,,
161,Porte de Vanves,10.0,2.306,48.828,,,,,,,,
162,Place de la République - Voltaire,13.0,2.365,48.867,,,,,,,,
163,Conservatoire de Musique,16.0,2.403,48.771,,,,,,,,
164,Gare de l'Est - Fidélité,0.0,2.357,48.875,,,,,,,,
165,Championnet - Vauvenargues,16.0,2.332,48.894,,,,,,,,
166,Buisson Saint-Louis - Saint-Maur,16.0,2.372,48.872,,,,,,,,
167,Place Albert Kahn,9.0,2.346,48.896,,,,,,,,
168,Gare du Nord - Denain,0.0,2.354,48.88,,,,,,,,
169,Lecourbe - Jean Maridor,8.0,2.288,48.838,,,,,,,,
170,Grenelle - Violet,33.0,2.295,48.85,,,,,,,,
171,Repos - Cimetière du Père Lachaise,4.0,2.39,48.859,,,,,,,,
172,Mouton Duvernet - Général Leclerc,4.0,2.329,48.832,,,,,,,,
173,Enghien - Faubourg Poissonnière,8.0,2.348,48.872,,,,,,,,
174,Place Robert Guillemard,11.0,2.281,48.836,,,,,,,,
175,Raspail - Chomel,34.0,2.327,48.852,,,,,,,,
176,Marc Sangnier - Porte de Vanves,5.0,2.311,48.825,,,,,,,,
177,Etienne Jodelle - Saint Ouen,1.0,2.326,48.888,,,,,,,,
178,Marcelin Berthelot,19.0,2.233,48.842,,,,,,,,
179,Guy Môquet - Etienne Dolet,2.0,2.298,48.815,,,,,,,,
180,Jean Jaurès - Presles,12.0,2.396,48.907,,,,,,,,
181,Boissière - Etienne Dolet,5.0,2.468,48.876,,,,,,,,
182,Edouard Tremblay - Julian Grimaux,16.0,2.372,48.781,,,,,,,,
183,Bertie Albrecht - Hoche,2.0,2.301,48.876,,,,,,,,
184,Sibelle - Alésia,6.0,2.338,48.827,,,,,,,,
185,Hôtel de Ville de Boulogne Billancourt,23.0,2.242,48.835,,,,,,,,
186,Cevennes - Bergers,23.0,2.281,48.842,,,,,,,,
187,Molière - République,7.0,2.315,48.811,,,,,,,,
188,Chevaleret - Tolbiac,12.0,2.376,48.829,,,,,,,,
189,Hoche - Jean Lolive,1.0,2.403,48.891,,,,,,,,
190,David Weill - Parc Montsouris,2.0,2.334,48.821,,,,,,,,
191,Hôtel de Ville de Nanterre,35.0,2.206,48.892,,,,,,,,
192,Marcadet - Barbès,7.0,2.349,48.89,,,,,,,,
193,Vaneau - Sèvres,15.0,2.32,48.849,,,,,,,,
194,Jean Jaurès - Salvador Allende,4.0,2.303,48.821,,,,,,,,
195,François Debergue - Croix de Chavaux,2.0,2.438,48.857,,,,,,,,
196,Nationale - Place Jules Guesde,17.0,2.242,48.828,,,,,,,,
